Cosmic Watch Muon Detector
Device ID: Kingswood College A
Firmware version: 2.3.2
Compiled: Aug 10 2019 at 18:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This firmware can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count Time_Stamp_ms Measured_ADC_0-1023 SIPM_Voltage_mV Dead_Time_ms Temperature_C
585 944105 88 21.0 54529 22.2
586 944396 112 22.9 54553 22.2
587 946029 156 27.3 54662 22.2
588 946794 423 97.4 54686 22.2
589 947407 103 22.2 54758 22.2
590 949135 88 21.0 54867 22.2
591 952688 352 66.9 55013 22.2
592 955453 225 38.5 55158 22.2
593 956973 63 17.9 55230 22.2
594 959197 103 22.2 55340 22.2
595 962068 145 26.0 55486 22.2
596 963068 63 17.9 55559 22.2
597 963497 83 20.5 55583 22.2
598 963831 172 29.5 55655 22.2
599 964471 103 22.2 55679 22.3
600 967699 185 31.5 55830 22.2
601 970034 71 19.1 55976 22.2
602 972704 62 17.8 56084 22.2
603 973443 71 19.1 56156 22.2
604 973783 172 29.5 56180 22.2
605 974627 449 112 56253 21.9
606 977110 60 17.4 56361 22.2
607 978010 112 22.9 56433 22.2
608 978513 56 16.8 56505 22.2
609 979782 304 53.7 56577 22.2
610 984855 103 22.2 56797 22.2
611 985400 60 17.4 56821 22.2
612 985605 199 33.9 56893 22.2
613 985886 83 20.5 56917 22.2
614 986258 56 16.8 56941 22.2
615 988558 463 119 57050 21.5
616 989082 167 28.8 57129 22.2
617 990756 300 52.8 57238 22.2
618 991192 60 17.4 57262 22.2
619 998549 54 16.4 57556 22.2
620 1002225 408 90.6 57739 22.2
621 1004666 67 18.5 57848 22.2
622 1006185 359 69.9 57920 22.2
623 1010392 56 16.8 58102 22.2
624 1011294 240 41.2 58174 22.3
625 1012147 295 51.7 58246 22.2
626 1014359 63 17.9 58355 22.2
627 1015341 51 15.9 58427 22.2
628 1016422 76 19.7 58499 22.2
629 1017181 376 76.4 58571 22.2
630 1017320 121 23.7 58595 22.3
631 1017862 113 23.0 58667 22.2
632 1018927 63 17.9 58747 22.2
633 1020772 120 23.6 58819 22.3
634 1026099 89 21.1 59039 22.2
635 1026347 112 22.9 59112 22.7
636 1026543 88 21.0 59136 22.3
637 1026962 161 27.9 59160 22.2
638 1028340 83 20.5 59268 22.2
639 1029646 67 18.5 59340 22.3
640 1033116 99 21.9 59487 22.2
641 1033360 265 45.8 59511 22.2
642 1035707 188 32.0 59657 22.2
643 1036121 94 21.5 59681 22.2
644 1037462 137 25.1 59753 22.2
645 1038103 558 173 59825 21.5
646 1039931 188 32.0 59934 22.2
647 1040001 304 53.7 59961 22.2
648 1040311 78 19.9 60013 22.2
649 1041013 113 23.0 60085 22.2
650 1046398 79 20.0 60305 22.2
651 1052935 135 24.9 60561 22.2
652 1056286 81 20.3 60707 22.3
653 1056695 295 51.7 60779 22.2
654 1057866 103 22.2 60851 22.7
655 1057900 76 19.7 60875 22.2
656 1059243 227 38.8 60948 22.2
657 1059726 304 53.7 61020 22.2
658 1059889 313 56.0 61044 22.2
659 1060183 177 30.3 61068 22.2
660 1062699 63 17.9 61214 22.2
661 1064566 99 21.9 61286 22.2
662 1065139 76 19.7 61358 22.2
663 1066039 73 19.3 61437 22.2
664 1066069 49 15.5 61461 22.2
665 1070938 88 21.0 61645 22.2
666 1071616 51 15.9 61717 22.2
667 1071722 339 63.0 61741 22.7
668 1072658 88 21.0 61813 22.2
669 1072833 206 35.1 61837 22.2
670 1073737 240 41.2 61909 22.2
671 1074538 112 22.9 61981 22.2
672 1075554 304 53.7 62179 22.2
673 1079570 79 20.0 62578 22.2
674 1080150 86 20.8 62602 22.2
675 1089141 71 19.1 62969 22.2
676 1089703 131 24.5 62993 22.3
677 1091080 49 15.5 63103 22.2
678 1093562 248 42.7 63211 22.2
679 1094567 129 24.4 63291 22.2
680 1096218 115 23.2 63401 22.7
681 1097458 359 69.9 63473 22.2
682 1106909 433 104 63840 22.2
683 1108985 71 19.1 63949 22.3
684 1109140 67 18.5 63973 22.2
685 1109635 371 73.8 64045 22.2
686 1109987 94 21.5 64069 22.3
687 1110776 305 53.9 64141 22.2
688 1111047 67 18.5 64165 22.2
689 1115485 591 189 64347 21.5
690 1116606 472 126 64428 21.5
691 1118384 76 19.7 64537 22.7
692 1118636 352 66.9 64561 22.3
693 1119429 384 80.1 64633 22.2
694 1121515 167 28.8 64743 22.2
695 1122181 63 17.9 64822 22.2
696 1125270 135 24.9 64969 22.2
697 1125305 99 21.9 64993 22.2
698 1128646 312 55.7 65138 22.2
699 1134664 192 32.7 65394 22.2
700 1135898 56 16.8 65466 22.2
701 1136956 76 19.7 65538 22.2
702 1140359 177 30.3 65684 22.2
703 1140948 94 21.5 65756 22.2
704 1143713 79 20.0 65865 22.7
705 1144856 76 19.7 65937 22.2
706 1148149 143 25.7 66120 22.2
707 1148655 263 45.4 66144 22.2
708 1149813 216 36.8 66219 22.2
709 1150444 248 42.7 66295 22.3
710 1152413 241 41.4 66404 22.7
711 1152626 231 39.5 66436 22.2
712 1152801 62 17.8 66460 22.2
713 1153504 339 63.0 66532 22.3
714 1155336 63 17.9 66604 22.2
715 1156710 49 15.5 66714 22.2
716 1161207 79 20.0 66896 22.2
717 1161279 176 30.1 66920 22.2
718 1163002 62 17.8 67030 22.2
719 1164207 120 23.6 67103 22.2
720 1164609 249 42.9 67127 22.2
721 1166903 318 57.3 67274 22.2
722 1167680 513 149 67298 21.5
723 1172818 220 37.6 67517 22.2
