Cosmic Watch Muon Detector
Device ID: Kingswood College B
Firmware version: 2.1.1 non official
Compiled: Jul 22 2018 at 15:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This software can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count,Time Stamp,Measured ADC,SIPM Voltage,Dead Time,Temperature C
611,369903,88,21.0,37954,19.6
612,370367,271,46.9,38049,19.6
613,370585,231,39.5,38074,19.6
614,370945,49,15.5,38100,19.6
615,371033,56,16.8,38124,19.6
616,371368,510,148,38217,18.5
617,371577,60,17.4,38240,19.6
618,371797,79,20.0,38265,19.6
619,372125,371,73.8,38288,19.6
620,372199,51,15.9,38317,19.6
621,372693,236,40.4,38420,19.6
622,372853,57,16.9,38444,19.6
623,373223,110,22.8,38470,19.6
624,375077,112,22.9,38596,19.6
625,375809,184,31.4,38691,19.6
626,375955,211,36.0,38715,19.6
627,377273,387,81.0,38810,18.8
628,377834,195,33.2,38903,19.6
629,380074,76,19.7,39031,19.6
630,380120,159,27.7,39055,19.6
631,381909,76,19.7,39183,19.6
632,383231,79,20.0,39275,19.6
633,384177,415,95.0,39369,18.8
634,386383,396,85.3,39496,18.8
635,387058,184,31.4,39523,19.6
636,387334,79,20.0,39617,19.6
637,387577,63,17.9,39651,19.6
638,387986,73,19.3,39676,19.6
639,388251,540,166,39768,18.5
640,388554,579,187,39792,18.5
641,389331,231,39.5,39884,19.6
642,389798,103,22.2,39911,19.6
643,389937,108,22.6,39936,19.6
644,390499,487,133,40030,18.5
645,391813,487,133,40123,18.8
646,392128,611,212,40148,18.2
647,392938,96,21.7,40239,19.6
648,393837,252,43.4,40331,19.6
649,394007,88,21.0,40356,19.6
650,394276,304,53.7,40382,19.6
651,394327,158,27.5,40407,19.6
652,394647,67,18.5,40501,19.6
653,394691,391,82.4,40526,19.3
654,395045,60,17.4,40557,19.6
655,395499,199,33.9,40582,19.6
656,397536,127,24.2,40707,19.6
657,397852,71,19.1,40802,19.6
658,397979,63,17.9,40825,19.6
659,398499,337,62.3,40852,19.6
660,398708,327,59.3,40875,19.6
661,399299,353,67.6,40971,19.6
662,399419,112,22.9,40993,19.6
663,401443,263,45.4,41121,19.6
664,401559,97,21.7,41145,19.6
665,401952,67,18.5,41171,19.6
666,402202,172,29.5,41263,19.6
